ID,키워드,검색,노출,클릭,장바구니,매칭여부,DB_ID,매칭타입,Main_Allow,Image_Allow,Img1a_Allow,Front_Allow,Static_Allow,Assets_Allow,Mercury_Allow,LJC_Allow,Thumbnail_Allow,Block_Patterns
1,"퓨어라이트 비룸 연장봉 b1",89,89,88,77,매칭됨,35,EXACT,"["*"]","["*"]","["*"]","["script","stylesheet"]","["*"]","["*"]","["*"]","["*"]","["*"]","[]"
2,"퓨어라이트 비룸 연장봉 v9",89,89,87,78,매칭됨,37,EXACT,"["*"]","["*"]","["*"]","["script","stylesheet"]","[]","["*"]","["*"]","["*"]","[]","[]"
3,"비룸 퓨어라이트 연장봉",13,88,87,76,매칭됨,36,EXACT,"["*"]","["*"]","["*"]","["script","stylesheet"]","["*"]","["*"]","["*"]","["*"]","[]","[]"
4,"연장봉 비룸 퓨어라이트 무선청소기 23000 V9-B1",13,13,13,0,매칭됨,52,EXACT,"["document","script","fetch"]","[]","[]","["*"]","[]","[]","[]","["*"]","[]","[]"
5,"비룸 무선청소기 퓨어라이트 헤파필터",78,78,78,0,매칭됨,38,EXACT,"["*"]","["*"]","["*"]","["script","stylesheet"]","[]","[]","["*"]","["*"]","[]","[]"
6,"비룸 23000 V9-B1 청소기 필터 헤파",77,76,76,0,매칭됨,39,EXACT,"["*"]","["*"]","[]","["script","stylesheet"]","[]","[]","["*"]","["*"]","[]","[]"
7,"비룸 청소기 정품 헤파필터",74,73,72,0,매칭됨,40,EXACT,"["*"]","[]","[]","["script","stylesheet"]","[]","[]","["*"]","["*"]","[]","[]"
8,"비룸 퓨어라이트 먼지필터통 - 중복",64,49,0,0,매칭됨,49,EXACT,"["*"]","["*"]","[]","["*"]","[]","[]","["*"]","["*"]","[]","[]"
9,"비룸 23000 V9-B1 배터리 연결잭",65,46,44,36,매칭됨,46,EXACT,"["*"]","["*"]","["*"]","["*"]","["*"]","["*"]","["*"]","["*"]","[]","[]"
10,"비룸 청소기 전용 전원 충전기",65,38,36,26,매칭됨,47,EXACT,"["*"]","["*"]","["*"]","["*"]","[]","["*"]","["*"]","["*"]","[]","[]"
11,"비룸 청소기 전용 전원 아답터",82,24,23,21,매칭됨,25,EXACT,"["*"]","["*"]","["*"]","["*"]","["*"]","["*"]","["*"]","["*"]","["*"]","[]"
12,"비룸 무선청소기 투명 먼지통 리필",100,100,100,0,매칭됨,30,EXACT,"["*"]","[]","[]","["*"]","[]","[]","["*"]","["*"]","[]","[]"
13,"비룸 23000 V9-B1 청소기 먼지통 교체",82,82,82,73,매칭됨,27,EXACT,"["*"]","["*"]","["*"]","["*"]","[]","["*"]","["*"]","["*"]","[]","[]"
14,"비룸 무선청소기 퓨어라이트 먼지통",82,82,82,73,매칭됨,26,EXACT,"["*"]","["*"]","["*"]","["*"]","["*"]","["*"]","["*"]","["*"]","[]","[]"
15,"비룸 청소기 분리형 먼지통 부품",81,81,81,0,매칭됨,28,EXACT,"["*"]","["*"]","["*"]","["*"]","[]","[]","["*"]","["*"]","[]","[]"
16,"비룸 퓨어라이트 청소기 수거통",82,81,81,0,매칭됨,29,EXACT,"["*"]","["*"]","[]","["*"]","[]","[]","["*"]","["*"]","[]","[]"
17,"비룸 청소기 먼지 수거통 정품",64,64,63,0,매칭됨,48,EXACT,"["*"]","["*"]","["*"]","["*"]","[]","[]","["*"]","["*"]","[]","[]"
18,"비룸 무선청소기 리필형 먼지통",13,13,13,0,매칭됨,50,EXACT,"["document","xhr","fetch"]","[]","[]","["*"]","[]","[]","["*"]","["*"]","[]","[]"
